不了	-1	NEG
白	-1	NEG
白白	-1	NEG
甭	-1	NEG
避免	-1	NEG
别	-1	NEG
没有	-1	NEG
不	-1	NEG
不是	-1	NEG
并非	-1	NEG
并未	-1	NEG
不	-1	NEG
不敢	-1	NEG
不会	-1	NEG
不必	-1	NEG
不够	-1	NEG
不可	-1	NEG
不能	-1	NEG
不许	-1	NEG
不用	-1	NEG
不再	-1	NEG
不曾	-1	NEG
从不	-1	NEG
得不到	-1	NEG
非	-1	NEG
否定	-1	NEG
改变	-1	NEG
毫不	-1	NEG
毫无	-1	NEG
未	-1	NEG
决不	-1	NEG
绝不	-1	NEG
绝非	-1	NEG
空	-1	NEG
没	-1	NEG
没有	-1	NEG
难	-1	NEG
难以	-1	NEG
缺乏	-1	NEG
缺少	-1	NEG
丧失	-1	NEG
尚未	-1	NEG
失去	-1	NEG
停止	-1	NEG
未	-1	NEG
未必	-1	NEG
未能	-1	NEG
无法	-1	NEG
无可	-1	NEG
勿	-1	NEG
不	-1	NEG
永不	-1	NEG
有失	-1	NEG
再不	-1	NEG
不大	0.5	DEGREE
不已	1.5	DEGREE
不足	0.5	DEGREE
多	1.5	DEGREE
很	1.5	DEGREE
非凡	1.5	DEGREE
非同小可	1.5	DEGREE
非同寻常	1.5	DEGREE
非同一般	1.5	DEGREE
高速	1.5	DEGREE
很多	1.5	DEGREE
极致	1.5	DEGREE
空前	1.5	DEGREE
欠缺	0.5	DEGREE
欠缺	0.5	DEGREE
强	1.5	DEGREE
强劲	1.5	DEGREE
轻微	0.5	DEGREE
深远	1.5	DEGREE
升级	1.5	DEGREE
十足	1.5	DEGREE
太	1.5	DEGREE
无比	1.5	DEGREE
无处不在	1.5	DEGREE
无穷	1.5	DEGREE
无限	1.5	DEGREE
一般	0.5	DEGREE
异常	1.5	DEGREE
异常	1.5	DEGREE
有余	0.5	DEGREE
最	1.5	DEGREE
备受	1.5	DEGREE
比较	0.5	DEGREE
不算	0.5	DEGREE
不小	1.5	DEGREE
不大	0.5	DEGREE
不断	1.5	DEGREE
不少	1.5	DEGREE
不胜	1.5	DEGREE
不胜	1.5	DEGREE
不止	1.5	DEGREE
差不多	0.5	DEGREE
长足	1.5	DEGREE
超	1.5	DEGREE
超级	1.5	DEGREE
彻底	1.5	DEGREE
充分	1.5	DEGREE
充满	1.5	DEGREE
初步	0.5	DEGREE
初步	0.5	DEGREE
大	1.5	DEGREE
大大	1.5	DEGREE
大幅	1.5	DEGREE
大幅度	1.5	DEGREE
大力	1.5	DEGREE
大为	1.5	DEGREE
倒是	0.5	DEGREE
的确	1.5	DEGREE
典型	1.5	DEGREE
多么	1.5	DEGREE
额外	1.5	DEGREE
飞速	1.5	DEGREE
非常	1.5	DEGREE
非常	1.5	DEGREE
分外	1.5	DEGREE
高度	1.5	DEGREE
高速	1.5	DEGREE
格外	1.5	DEGREE
更	1.5	DEGREE
更具	1.5	DEGREE
更加	1.5	DEGREE
更为	1.5	DEGREE
够	1.5	DEGREE
广泛	1.5	DEGREE
过	1.5	DEGREE
过于	1.5	DEGREE
何等	1.5	DEGREE
很	1.5	DEGREE
很多	1.5	DEGREE
算是	0.5	DEGREE
缓慢	0.5	DEGREE
极	1.5	DEGREE
极好	1.5	DEGREE
极尽	1.5	DEGREE
极具	1.5	DEGREE
极速	1.5	DEGREE
极度	1.5	DEGREE
极富	1.5	DEGREE
极其	1.5	DEGREE
极为	1.5	DEGREE
极致	1.5	DEGREE
急剧	1.5	DEGREE
急遽	1.5	DEGREE
急速	1.5	DEGREE
加强	1.5	DEGREE
简直	1.5	DEGREE
较	0.5	DEGREE
较为	0.5	DEGREE
节节	1.5	DEGREE
尽显	1.5	DEGREE
就算	0.5	DEGREE
巨大	1.5	DEGREE
绝	1.5	DEGREE
绝对	1.5	DEGREE
绝对	1.5	DEGREE
堪称	1.5	DEGREE
可能	0.5	DEGREE
肯定	1.5	DEGREE
肯定	1.5	DEGREE
肯定	1.5	DEGREE
空前	1.5	DEGREE
快速	1.5	DEGREE
略	0.5	DEGREE
略显	0.5	DEGREE
